# element: background
# format: name | probability | coverage_range | texture

exposed red brick wall | 1.0 | 0.7-1.0 | weathered aged kiln-fired masonry
raw concrete poured wall | 0.95 | 0.7-1.0 | smoothly board-formed grey surface
blackened steel paneled wall | 0.8 | 0.6-1.0 | gently patinated cool metal
reclaimed barnwood plank wall | 0.85 | 0.7-1.0 | richly aged grey timber
charcoal painted brick wall | 0.75 | 0.7-1.0 | matte rough painted masonry
oxidized corten steel wall | 0.65 | 0.6-1.0 | richly rusted weathered patina
graffiti tagged warehouse wall | 0.55 | 0.6-1.0 | spraypainted layered urban marks
dark slate grey painted wall | 0.7 | 0.6-1.0 | smoothly flat matte pigment
wire mesh covered concrete wall | 0.55 | 0.5-0.9 | crisply gridded dark steel
exposed cmu block wall | 0.65 | 0.6-1.0 | softly textured mortared concrete
weathered zinc panel wall | 0.6 | 0.6-1.0 | softly mottled grey metal
distressed plaster on brick | 0.7 | 0.6-1.0 | partially crumbled mottled finish
