# element: foreground_element
# format: name | probability | coverage_range | texture

dust covered bordeaux bottles | 0.95 | 0.1-0.3 | softly powdered green glass
crystal decanter on tray | 0.85 | 0.05-0.15 | sharply faceted clear glass
bordeaux wine glasses set | 0.85 | 0.05-0.15 | sharply pulled crystal stems
chalkboard cellar inventory list | 0.7 | 0.05-0.15 | softly chalked dark slate
old wine bottle cork display | 0.65 | 0.05-0.15 | softly textured natural cork
silver wine bottle holder | 0.55 | 0.02-0.08 | softly polished engraved metal
leather bound wine journal | 0.65 | 0.02-0.05 | softly aged tooled hide
brass candle holder lit | 0.7 | 0.02-0.08 | softly polished tarnished metal
faded vintage wine label collection | 0.65 | 0.05-0.15 | softly aged printed paper
small wedge of aged cheese on board | 0.55 | 0.05-0.1 | softly marbled rind crust
