# element: background
# format: name | probability | coverage_range | texture

tiered packed arena seating bowl | 1.0 | 0.7-1.0 | rows of upholstered fold seats
luxury suite glass-front balcony | 0.85 | 0.6-1.0 | mirrored skybox glazing
giant scoreboard center hang | 0.9 | 0.6-1.0 | four-sided LED video display
team championship banner wall | 0.85 | 0.6-1.0 | hanging fabric title banners
packed lower-bowl crowd backdrop | 0.95 | 0.7-1.0 | dense home-jersey color block
tunnel-mouth player entrance | 0.7 | 0.5-0.9 | darkened dramatic portal
LED ribbon-board wall sweep | 0.85 | 0.6-1.0 | scrolling animated graphic strip
retired-jersey rafter display | 0.65 | 0.5-0.9 | hanging numbered jerseys
courtside sponsor signage backdrop | 0.85 | 0.6-0.9 | logo-emblazoned floor-side panel
home-team color upholstered seat sea | 0.75 | 0.6-1.0 | swathe of theme-colored seats
center-court logo painted floor | 0.95 | 0.6-1.0 | polished glossy team emblem
press-row cluster table-line | 0.7 | 0.5-0.9 | long courtside media bench
dimmed tunnel introduction backdrop | 0.6 | 0.4-0.8 | shadowed portal hush
