# element: foreground_element
# format: name | probability | coverage_range | texture

polished hardwood-board track edge | 1.0 | 0.3-0.6 | lacquered hardwood plank
painted blue-band sprinter-lane edge | 0.95 | 0.1-0.3 | low blue painted lane
scuffed cycling-shoe cleat foreground | 0.7 | 0.02-0.08 | carbon-sole road cleat
dropped track-cycling helmet near bench | 0.7 | 0.05-0.15 | aero teardrop helmet
dropped tire-pump on infield | 0.55 | 0.05-0.15 | track-floor pump
painted starter-line band foreground | 0.85 | 0.05-0.15 | starter-stripe paint
scattered track-tire tube on infield | 0.55 | 0.05-0.15 | spare cycling tubular
rider-team gear-bag drape foreground | 0.7 | 0.05-0.2 | team-emblem zip duffel
dropped wristband-sweat strap | 0.55 | 0.02-0.05 | elastic terry sweat cuff
rolled cycling-shoe pair | 0.7 | 0.02-0.1 | carbon-sole road cleat
painted race-number rear decal | 0.55 | 0.02-0.05 | race-number cardboard
scuffed pedal cleat strike-mark | 0.6 | 0.02-0.05 | scuff cleat-on-board mark
