# element: background
# format: name | probability | coverage_range | texture

packed multi-tier rugby-stand bowl | 1.0 | 0.7-1.0 | dense crowd-color block
home-end ultras color-block | 0.85 | 0.6-1.0 | team-supporter color block
rugby-end H-shaped goal-post pair | 1.0 | 0.5-0.9 | tall H-shaped rugby uprights
perimeter rugby-pitch advert hoarding | 0.95 | 0.5-0.9 | sponsor hoarding strip
opposite-stand crowd silhouette | 0.85 | 0.6-1.0 | far-side spectator wall
rugby-stadium roof-overhang cantilever | 0.7 | 0.4-0.8 | broad covering sweep
press-box mid-tier glass front | 0.7 | 0.5-0.9 | long media-window strip
home-team championship-banner row | 0.7 | 0.4-0.8 | rafter title cloth
rugby-stand club-emblem mural | 0.65 | 0.4-0.8 | painted team-emblem wall
rugby-stand giant scoreboard pylon | 0.85 | 0.5-0.9 | matchday LED video panel
rugby-stand hospitality VIP row | 0.6 | 0.4-0.8 | elevated officials gallery
rugby-stand ribbon-board sweep | 0.85 | 0.5-0.9 | scrolling rink-edge graphic
rugby-stand fan-zone tunnel mouth | 0.65 | 0.4-0.8 | darkened fan-tunnel portal
