# element: props
# format: name | probability | coverage_range | texture

open laptop on tablet desk | 0.9 | 0.05-0.15 | silver clamshell laptop
spiral notebook lying open | 0.8 | 0.05-0.15 | ruled paper notebook
backpack zipper pocket bulging | 0.6 | 0.05-0.15 | stuffed nylon compartment
water bottle on tablet arm | 0.75 | 0.02-0.1 | reusable steel bottle
lecture slide remote clicker | 0.5 | 0.02-0.05 | small black presenter
coffee cup resting on lectern | 0.6 | 0.02-0.08 | disposable paper cup
stack of handout papers | 0.7 | 0.05-0.15 | stapled printed packet
dry-erase marker tray | 0.65 | 0.02-0.08 | plastic ledge with markers
whiteboard eraser felt block | 0.55 | 0.02-0.05 | worn felt eraser
coiled extension cord on floor | 0.4 | 0.05-0.15 | orange coiled cable
laptop charger cable draped | 0.6 | 0.02-0.08 | black power cable
closed textbook stacked on desk | 0.65 | 0.05-0.15 | thick hardcover textbook
phone resting face-down on desk | 0.55 | 0.02-0.05 | slim black smartphone
highlighter and pen set | 0.5 | 0.02-0.05 | small stationery bundle
tissue box on lectern shelf | 0.35 | 0.02-0.08 | cardboard tissue box
