# element: architecture_detail
# format: name | probability | coverage_range | texture

rubber tile flooring | 0.85 | 0.3-0.6 | chalk-dusted black tiles
drop ceiling with new and old panels | 0.55 | 0.15-0.35 | mismatched whites
exposed conduit along the wall | 0.45 | 0.05-0.2 | painted-over runs
floor-to-ceiling column padded | 0.45 | 0.1-0.25 | taped foam wrap
AC vent blowing on one machine | 0.4 | 0.05-0.15 | ribbon fluttering
baseboard scuffed by plates | 0.45 | 0.05-0.15 | dented drywall above
mirror seam slightly misaligned | 0.4 | 0.05-0.2 | doubled reflection line
emergency exit with alarm bar | 0.4 | 0.05-0.15 | warning sticker
ceiling fan on a long downrod | 0.4 | 0.05-0.15 | wobbling slowly
platform edge with worn tape | 0.4 | 0.05-0.15 | frayed gaffer layers
clock cage over the class room | 0.35 | 0.03-0.1 | wire guard
