# element: background
# format: name | probability | coverage_range | texture

bathroom mirror over the basin | 1.0 | 0.4-0.8 | slightly spotted glass
plain tiled bathroom wall | 0.95 | 0.5-0.9 | white tiles with grey grout
shower curtain half drawn | 0.55 | 0.2-0.5 | creased plastic
tiled shower recess behind | 0.6 | 0.25-0.55 | grouted wall tiles
mirrored cabinet door | 0.6 | 0.25-0.55 | smeared mirror front
towel rail with used towels | 0.8 | 0.15-0.4 | worn terry cloth
small frosted window | 0.6 | 0.1-0.3 | textured glass
painted wall above the tiles | 0.65 | 0.2-0.5 | flat paint with steam marks
door with a hook and dressing gown | 0.5 | 0.2-0.5 | painted timber
shelf of bottles along the wall | 0.7 | 0.15-0.4 | crowded plastic bottles
radiator towel warmer | 0.45 | 0.1-0.3 | chrome bars
