# element: background
# format: name | probability | coverage_range | texture

floor-to-ceiling glazed wall | 1.0 | 0.7-1.0 | clean clear panel runs
white painted muntin window wall | 0.95 | 0.6-1.0 | divided pane grid
glass conservatory pitched roof | 0.85 | 0.5-0.9 | sloped clean glazing
half-paneled window wall | 0.85 | 0.5-0.9 | painted lower glazed upper
exterior view of garden visible | 0.95 | 0.5-0.9 | softly blurred greenery
brick interior accent wall | 0.7 | 0.4-0.8 | aged warm masonry
painted pale plaster wall | 0.7 | 0.5-0.9 | softly chalky finish
shiplap accent wall section | 0.65 | 0.4-0.8 | overlapped board joint
window seat alcove back | 0.75 | 0.3-0.6 | recessed cushioned bay
floor-to-ceiling French door | 0.85 | 0.3-0.6 | divided pane double leaf
