# element: background
# format: name | probability | coverage_range | texture

double-height curtain wall window | 1.0 | 0.7-1.0 | clear floor-to-ceiling glazing
polished black granite feature wall | 0.9 | 0.7-1.0 | mirror-finished veined stone
brushed steel cladded wall | 0.85 | 0.6-1.0 | satin linear metal panels
oversized corporate logo on wall | 0.85 | 0.4-0.8 | recessed brushed letters
bookmatched marble lobby slab wall | 0.8 | 0.7-1.0 | symmetric veined stone
backlit alabaster panel wall | 0.7 | 0.6-1.0 | translucent glowing stone
warm bronze metal mesh screen | 0.7 | 0.6-1.0 | woven metallic curtain
white-painted plaster lobby wall | 0.65 | 0.6-1.0 | smooth matte plaster
distant city skyline through window | 0.85 | 0.5-0.9 | dense urban silhouette
walnut paneled accent wall | 0.65 | 0.5-0.9 | richly grained timber
glass-fronted security gate row | 0.7 | 0.4-0.8 | frosted glass speedgates
illuminated tenant directory wall | 0.6 | 0.3-0.7 | backlit listings panel
