# element: background
# format: name | probability | coverage_range | texture

dining room wall with hung garlands | 1.0 | 0.6-1.0 | painted plaster with paper banner
HAPPY BIRTHDAY paper letter banner | 0.95 | 0.4-0.8 | strung cardstock cutout letters
helium balloon arch backdrop | 0.85 | 0.5-1.0 | clustered colorful latex sphere wall
pastel painted living room wall | 0.8 | 0.6-1.0 | matte calm interior pigment
patterned wallpaper with stars | 0.6 | 0.5-0.9 | repeated playful print
curtained window with daylight | 0.7 | 0.4-0.8 | sheer drape over glass
streamers crisscrossed at ceiling | 0.85 | 0.4-0.8 | crepe paper twisted ribbons
photo booth backdrop sheet | 0.55 | 0.4-0.8 | glittery fabric panel
honeycomb tissue ball cluster | 0.65 | 0.3-0.7 | round paper decoration
chalkboard with hand-lettered name | 0.55 | 0.2-0.5 | dark slate handwritten
fringed foil curtain drop | 0.6 | 0.3-0.7 | metallic strip cascade
pinata hanging from ceiling | 0.6 | 0.2-0.5 | papier-mache animal shape
themed cartoon character poster | 0.5 | 0.2-0.5 | printed party theme art
