# element: midground
# format: name | probability | coverage_range | texture

heavy duty workbench center | 1.0 | 0.4-0.8 | thick maple top vise
freestanding table saw | 0.85 | 0.3-0.6 | cast iron wing surface
drill press on stand | 0.8 | 0.3-0.5 | dark cast metal column
miter saw on bench station | 0.85 | 0.3-0.5 | mounted blade housing
rolling tool chest | 0.9 | 0.3-0.6 | stacked drawer cabinet
parts bin organizer rack | 0.8 | 0.3-0.6 | colored plastic trays
shop vacuum on caster wheels | 0.7 | 0.2-0.5 | barrel-shaped collector
freestanding clamp rack | 0.7 | 0.2-0.5 | hung steel clamps
welding cart with cylinder | 0.55 | 0.2-0.5 | wheeled steel frame
overhead storage platform | 0.7 | 0.3-0.6 | suspended timber deck
floor-standing air compressor | 0.65 | 0.2-0.5 | red tank cylinder
sawhorses with project board | 0.7 | 0.3-0.6 | folding metal stands
