# element: background
# format: name | probability | coverage_range | texture

floor-to-ceiling shelved game wall | 1.0 | 0.7-1.0 | colorful packed boxes
warm wood plank cafe wall | 0.9 | 0.6-1.0 | smooth honey-toned grain
chalkboard menu wall section | 0.85 | 0.5-0.9 | dusty matte black slate
exposed brick cafe wall | 0.85 | 0.5-0.9 | aged warm masonry
soft mustard painted wall | 0.7 | 0.5-0.9 | matte pigment surface
quirky illustrated mural wall | 0.7 | 0.5-0.9 | painted whimsical motif
bookshelf-and-game stacked wall | 0.8 | 0.6-1.0 | cluttered colorful spines
warm pendant-lit cafe back wall | 0.65 | 0.5-0.9 | pooled glow on plaster
soft sage painted wall | 0.6 | 0.5-0.9 | matte chalky pigment
patterned vintage wallpaper | 0.55 | 0.5-0.9 | flocked floral print
deep navy painted accent wall | 0.55 | 0.5-0.9 | matte velvety pigment
cork pinboard event wall | 0.5 | 0.4-0.8 | soft natural granular surface
