# element: midground
# format: name | probability | coverage_range | texture

vr play-area padded zone | 1.0 | 0.3-0.6 | thick padded floor mat
overhead tracking sensor truss | 0.9 | 0.15-0.4 | mounted black sensor pods
gaming pc tower rack | 0.8 | 0.15-0.4 | glowing component case
station-screen monitor on stand | 0.85 | 0.15-0.4 | glossy bezel with stand
booth divider partition | 0.85 | 0.2-0.5 | acoustic padded panel
charging dock station | 0.7 | 0.1-0.3 | glowing slotted housing
seating bench observer row | 0.65 | 0.15-0.4 | padded vinyl bench
checkout counter desk | 0.6 | 0.15-0.4 | laminated melamine top
cable management ceiling rig | 0.85 | 0.15-0.4 | retractable tether spool
locker bank for belongings | 0.6 | 0.15-0.4 | painted metal compartments
glowing arcade signage post | 0.6 | 0.1-0.3 | backlit acrylic letters
treadmill omni-platform unit | 0.6 | 0.15-0.4 | concave padded ring
hand-tracking sensor base | 0.55 | 0.05-0.2 | small glowing puck
