# element: background
# format: name | probability | coverage_range | texture

walnut-paneled mid-century wall | 1.0 | 0.7-1.0 | deeply lacquered hardwood face
smoky-amber painted accent wall | 0.85 | 0.7-1.0 | softly hazed matte pigment
brass-framed abstract canvas wall | 0.7 | 0.6-1.0 | softly aged painted canvas
vintage cocktail-poster gallery wall | 0.7 | 0.6-1.0 | framed graphic-print row
textured grass-cloth wallpaper | 0.7 | 0.7-1.0 | woven natural-fiber paper
dusty-orange retro accent wall | 0.6 | 0.7-1.0 | matte 1960s pigment
tufted leather banquette wall | 0.7 | 0.6-1.0 | buttoned-back hide upholstery
teak veneer accent wall | 0.65 | 0.6-1.0 | warm grain-faced sheet
vintage tobacco-club painted wall | 0.7 | 0.7-1.0 | softly aged matte pigment
framed commercial-art portfolio wall | 0.65 | 0.6-1.0 | matted vintage-ad print
oversized abstract wall sculpture | 0.55 | 0.6-0.9 | geometric metal wall art
vintage period-tile bar accent wall | 0.55 | 0.6-0.9 | small mosaic pattern
