# element: architecture_detail
# format: name | probability | coverage_range | texture

retracted-rafter dome ceiling | 0.85 | 0.1-0.2 | soaring exposed truss
center-hung four-sided scoreboard rig | 0.95 | 0.05-0.15 | suspended LED video cube
ceiling-rafter spot truss cluster | 0.85 | 0.05-0.15 | mounted high-output spot grid
rafter-hung championship banner | 0.85 | 0.05-0.2 | fabric hanging title cloth
retracted upper-tier seating rail | 0.7 | 0.05-0.15 | pulled-back gallery handrail
ceiling-mounted broadcast rig camera | 0.75 | 0.02-0.1 | robotic suspended camera
LED ribbon-board ceiling fascia | 0.85 | 0.05-0.2 | scrolling graphic edge
painted column-buttress cap | 0.55 | 0.02-0.1 | structural concrete column top
speaker-cluster line-array hang | 0.7 | 0.05-0.15 | vertical sound array stack
dome-panel cove uplighting | 0.65 | 0.02-0.1 | graded ceiling color wash
