# element: background
# format: name | probability | coverage_range | texture

dense oak woodland canopy | 1.0 | 0.5-1.0 | broad-leaved green vault
sun-shafted clearing ahead | 0.9 | 0.4-0.8 | bright tunnel through trees
distant grassy meadow opening | 0.75 | 0.3-0.7 | golden-green open patch
maple grove on slope | 0.8 | 0.4-0.8 | mottled red-green canopy
weathered split-rail boundary | 0.65 | 0.3-0.6 | silvered chestnut beam line
rolling hill pasture beyond | 0.7 | 0.3-0.7 | gentle green undulation
distant hilltop barn roof | 0.55 | 0.2-0.5 | tiny red gabled top
hazy distant ridge | 0.7 | 0.3-0.7 | soft blue layered profile
hemlock-shaded hollow | 0.6 | 0.3-0.6 | dark green dim canyon
old stone wall along trees | 0.6 | 0.3-0.6 | weathered drystone masonry
spring-flowering dogwood understory | 0.55 | 0.3-0.6 | white bract clusters
mossy boulder cluster | 0.55 | 0.3-0.6 | rounded velvet-tinted stones
distant stream glimmer through trees | 0.5 | 0.2-0.5 | reflective dark ribbon
