# element: foreground_element
# format: name | probability | coverage_range | texture

hoof-packed dirt path underfoot | 1.0 | 0.2-0.5 | brown imprinted earth
fresh horse hoofprint | 0.95 | 0.05-0.2 | crescent imprint in mud
fallen oak leaves over moss | 0.85 | 0.1-0.3 | layered russet litter
exposed tree root over trail | 0.85 | 0.1-0.3 | gnarled woody knot
patch of trillium and violets | 0.6 | 0.1-0.3 | scattered low blooms
small puddle in trail dip | 0.55 | 0.0-0.2 | dark glassy water patch
clump of wood ferns | 0.7 | 0.1-0.3 | soft feathery fronds
fresh deer tracks beside hoof | 0.55 | 0.05-0.15 | crisp cloven imprint
patch of running club moss | 0.55 | 0.1-0.3 | low evergreen creeper
spring grass tufts | 0.7 | 0.1-0.3 | tender new green sprouts
horse manure pile | 0.65 | 0.05-0.15 | clustered dark mounds
sun-dappled trail light | 0.85 | 0.2-0.5 | broken bright patches
