# element: foreground_element
# format: name | probability | coverage_range | texture

kayak deck and bow | 1.0 | 0.3-0.6 | molded bright plastic
spraying river water on hull | 0.95 | 0.1-0.3 | scattered glistening droplets
splash droplets on visor | 0.85 | 0.05-0.2 | beaded clear water
paddle blade entering water | 0.95 | 0.1-0.3 | smooth carbon plate
foamy whitewater bow wave | 0.95 | 0.2-0.5 | curling white lip
spraydeck stretched over cockpit | 0.95 | 0.1-0.3 | tensioned neoprene panel
gripping gloved hands on shaft | 0.85 | 0.1-0.3 | padded synthetic palm
wet helmet brim edge | 0.85 | 0.05-0.15 | beaded glistening rim
spray skirt grab loop | 0.7 | 0.05-0.15 | bright colored release tab
cast spray rainbow in sun | 0.5 | 0.05-0.2 | iridescent droplet arc
