# element: foreground_element
# format: name | probability | coverage_range | texture

clean concrete sidewalk panel | 0.95 | 0.3-0.6 | uniform poured concrete
expansion joint groove in sidewalk | 0.85 | 0.1-0.3 | linear control joint
trimmed lawn edge along sidewalk | 0.85 | 0.1-0.3 | clean grass-to-pavement border
sprinkler runoff stain on concrete | 0.45 | 0.1-0.2 | pale mineral deposit
dropped piece of mulch on slab | 0.4 | 0.05-0.1 | dark bark chip
small pinecone on sidewalk | 0.35 | 0.05-0.1 | dried cone
kid's chalk doodle nearly washed | 0.35 | 0.1-0.2 | faded chalk smudge
fallen leaf on clean concrete | 0.45 | 0.05-0.1 | dry brown leaf
small ant hill in lawn seam | 0.3 | 0.05-0.1 | tiny dirt mound
single-flowered weed in seam | 0.5 | 0.05-0.15 | scrubby green sprout
grass clipping streak on sidewalk | 0.55 | 0.1-0.2 | trail of dried clippings
discarded HOA notice on lawn | 0.3 | 0.05-0.15 | folded paper notice
