# element: background
# format: name | probability | coverage_range | texture

open ocean horizon line | 1.0 | 0.6-1.0 | endless deep-blue plane
distant hazy coastline strip | 0.85 | 0.5-0.9 | pale layered landmass silhouette
catamaran twin-hull bow spread | 0.9 | 0.5-0.9 | white fiberglass V-shape
taut canvas bimini shade top | 0.95 | 0.5-0.9 | sun-bleached stretched canvas
open speedboat console windshield | 0.8 | 0.4-0.8 | curved tinted acrylic panel
rolling deep-water swell field | 0.9 | 0.5-1.0 | undulating sunlit water texture
distant sailboat white speck | 0.5 | 0.2-0.5 | tiny triangular sail shape
offshore island silhouette rise | 0.6 | 0.3-0.6 | dark green humped landmass
wide open sky dome | 0.85 | 0.5-0.9 | pale gradient atmospheric expanse
wake-trail foam streak | 0.7 | 0.3-0.6 | white churned frothy line
anchored mooring buoy cluster | 0.45 | 0.2-0.4 | small bobbing colored marker
tuna tower frame silhouette | 0.4 | 0.2-0.4 | raised aluminum lattice structure
distant cargo ship outline | 0.35 | 0.2-0.4 | flat grey industrial hull shape
rocky headland cliff edge | 0.45 | 0.3-0.6 | sunlit stone coastal wall
