# element: architecture_detail
# format: name | probability | coverage_range | texture

rubber safety matting | 0.7 | 0.2-0.5 | worn black tiles
bark chippings under the frame | 0.6 | 0.2-0.5 | damp wood chips
concrete path edge | 0.5 | 0.1-0.3 | chipped kerb
posts set into concrete collars | 0.5 | 0.05-0.2 | cracked concrete
worn dirt patch under the swings | 0.65 | 0.1-0.3 | compacted bare earth
gate in the low fence | 0.45 | 0.1-0.3 | sprung metal latch
drain grate near the path | 0.35 | 0.03-0.12 | leaf-clogged grate
bolt heads on the climbing frame | 0.45 | 0.03-0.12 | rounded steel caps
paint worn from the handrails | 0.5 | 0.05-0.2 | bare metal patches
lamp post at the path corner | 0.4 | 0.1-0.3 | painted steel column
kerb between grass and path | 0.4 | 0.05-0.2 | mossy concrete
