# element: props
# format: name | probability | coverage_range | texture

paper towel dispenser at pump | 0.75 | 0.05-0.15 | blue metal box
windshield squeegee handle in bucket | 0.7 | 0.05-0.15 | grimy plastic grip
yellow caution wet floor cone | 0.4 | 0.05-0.15 | scuffed plastic cone
fountain drink cup discarded | 0.55 | 0.05-0.1 | crushed paper cup
gas pump nozzle clip and lever | 0.85 | 0.05-0.15 | worn metal mechanism
credit card reader keypad | 0.85 | 0.05-0.1 | dirty rubber buttons
small trash bin attached to pump | 0.75 | 0.05-0.15 | open black plastic
sticker-covered pump housing | 0.7 | 0.1-0.3 | layered weathered decals
plastic bag stuck on bollard | 0.4 | 0.05-0.1 | snagged white grocery bag
five-gallon kerosene jug for sale | 0.35 | 0.05-0.15 | blue plastic container
loose grocery cart abandoned | 0.4 | 0.1-0.2 | dented metal basket
yellow lottery banner taped to glass | 0.5 | 0.1-0.2 | sun-faded vinyl sign
