# element: architecture_detail
# format: name | probability | coverage_range | texture

sidewalk expansion joints | 0.6 | 0.05-0.2 | tar-filled lines
bollards painted safety yellow | 0.55 | 0.05-0.15 | chipped domes
sign band conduit runs | 0.4 | 0.05-0.15 | exposed feeds
column base rusted at the bolts | 0.45 | 0.03-0.1 | powdered orange
automatic door mat sensor | 0.45 | 0.03-0.1 | rubber threshold
roofline parapet with a gap | 0.35 | 0.1-0.25 | pigeon perch
sprinkler riser against the wall | 0.4 | 0.02-0.08 | caged valve
cigarette urn by the vacancy | 0.4 | 0.02-0.06 | sand-topped
painted curb numbers | 0.45 | 0.02-0.08 | suite markers
window tint bubbling in a pane | 0.4 | 0.05-0.15 | purple blister
gum constellation on the concrete | 0.45 | 0.03-0.1 | black dots
