# element: background
# format: name | probability | coverage_range | texture

steepled village church silhouette | 1.0 | 0.4-0.8 | tall slate spire
row of timber-fronted shopfronts | 0.95 | 0.5-0.9 | painted shutter facades
snow-blanketed cobblestone plaza | 0.9 | 0.5-1.0 | mottled white-dusted pavers
distant ridge towering above town | 0.85 | 0.4-0.8 | jagged peak silhouette
clustered chalet rooftops | 0.85 | 0.4-0.8 | snow-laden gabled forms
old town clock tower | 0.7 | 0.3-0.6 | weathered stone with face
stone bridge over frozen brook | 0.6 | 0.3-0.6 | arched masonry structure
fountain mounded with snow | 0.65 | 0.3-0.5 | central plaza centerpiece
narrow medieval lane opening | 0.7 | 0.3-0.6 | shadowed stone passage
arcaded townhall facade | 0.65 | 0.3-0.6 | frescoed wall with arches
bakery window glowing warmly | 0.6 | 0.2-0.5 | small lit shop pane
cluster of leafless plane trees | 0.7 | 0.3-0.6 | bare branching silhouettes
