# format: fabric_name | formality | family | weight

# walking fabrics
cotton | 0.2 | natural | medium
modal | 0.2 | natural | light
jersey | 0.1 | casual | light
fleece | 0.1 | casual | medium
nylon | 0.15 | sporty | light
polyester | 0.2 | sporty | light
spandex | 0.1 | sporty | light
mesh | 0.1 | sporty | light
canvas | 0.2 | natural | medium
linen | 0.4 | natural | medium
denim | 0.3 | natural | heavy
wool | 0.4 | natural | heavy
flannel | 0.3 | natural | medium
suede | 0.4 | natural | medium
rayon | 0.25 | natural | light
foam | 0.1 | sporty | light
rubber | 0.1 | sporty | medium
satin | 0.4 | luxury | light
straw | 0.3 | natural | light

# special materials
metal | 0.5 | luxury | heavy
acetate | 0.4 | luxury | light
faux-leather | 0.4 | luxury | medium
wood | 0.3 | natural | light
