# slot: top
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

slip camisole | 0.85 | 0.45-0.7 | silk,satin,polyester
flowy halter top | 0.75 | 0.45-0.7 | chiffon,viscose
draped cami | 0.70 | 0.45-0.7 | silk,satin
strappy blouse | 0.70 | 0.45-0.7 | chiffon,silk
ruched bustier top | 0.65 | 0.5-0.7 | satin,polyester
tied front blouse | 0.65 | 0.45-0.7 | viscose,chiffon
backless top | 0.60 | 0.5-0.7 | silk,satin
off-shoulder blouse | 0.60 | 0.45-0.7 | viscose,cotton
fitted shell | 0.55 | 0.5-0.7 | silk,polyester
sheer-panel blouse | 0.50 | 0.5-0.7 | chiffon,polyester
cowl-neck cami | 0.55 | 0.5-0.7 | satin,silk
crochet-knit top | 0.45 | 0.45-0.65 | cotton
