# slot: accessories
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

stud earrings | 0.70 | 0.4-0.65 | metal
delicate necklace | 0.65 | 0.4-0.65 | metal
slim belt | 0.60 | 0.4-0.65 | leather
classic watch | 0.60 | 0.4-0.65 | metal,leather
hoop earrings | 0.55 | 0.4-0.65 | metal
sheer hosiery | 0.50 | 0.45-0.65 | nylon
fine neck scarf | 0.45 | 0.45-0.65 | silk
layered necklace | 0.45 | 0.4-0.65 | metal
signet ring | 0.40 | 0.45-0.65 | metal
sunglasses | 0.40 | 0.4-0.65 | plastic,metal
bangle bracelet | 0.40 | 0.4-0.65 | metal
