# slot: footwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

classic pumps | 0.85 | 0.4-0.65 | leather,suede
almond-toe pumps | 0.75 | 0.4-0.65 | leather,suede
mid-heel pumps | 0.70 | 0.4-0.65 | leather,suede
pointed-toe pumps | 0.65 | 0.45-0.65 | leather,suede
sleek pumps | 0.60 | 0.4-0.65 | leather,suede
bow pumps | 0.55 | 0.45-0.65 | leather,satin
mary jane pumps | 0.55 | 0.4-0.65 | leather,suede
stiletto pumps | 0.50 | 0.45-0.65 | leather,suede
ankle-strap pumps | 0.50 | 0.45-0.65 | leather,suede
court shoes | 0.45 | 0.4-0.65 | leather,suede
patent pumps | 0.45 | 0.45-0.65 | leather
high-heel pumps | 0.40 | 0.5-0.65 | leather,suede
