# fabric database
# format: fabric_name | formality | family | weight

cotton | 0.3 | natural | medium
denim | 0.3 | natural | heavy
jersey | 0.2 | knit | light
knit | 0.3 | knit | medium
canvas | 0.2 | natural | heavy
fleece | 0.1 | synthetic | heavy
polyester | 0.2 | synthetic | medium
nylon | 0.2 | synthetic | light
leather | 0.4 | animal | medium
suede | 0.4 | animal | medium
wool | 0.4 | natural | medium
mohair | 0.3 | natural | medium
cashmere | 0.5 | natural | medium
sherpa | 0.2 | synthetic | heavy
shearling | 0.4 | animal | heavy
corduroy | 0.3 | natural | medium
rubber | 0.1 | synthetic | medium
plastic | 0.1 | synthetic | light
metal | 0.3 | accessories | light
