# slot: footwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

mid-heel pumps | 0.85 | 0.3-0.6 | leather,suede
classic pumps | 0.75 | 0.35-0.6 | leather,suede
almond-toe pumps | 0.70 | 0.3-0.6 | leather,suede
sleek pumps | 0.65 | 0.35-0.6 | leather,suede
pointed-toe pumps | 0.60 | 0.4-0.6 | leather,suede
bow pumps | 0.55 | 0.35-0.6 | leather,satin
mary jane pumps | 0.55 | 0.3-0.55 | leather,suede
court shoes | 0.50 | 0.35-0.6 | leather,suede
ankle-strap pumps | 0.45 | 0.4-0.6 | leather,suede
patent pumps | 0.40 | 0.4-0.6 | leather
stiletto pumps | 0.35 | 0.45-0.6 | leather,suede
