# format: fabric_name | formality | family | weight
cotton | 0.4 | natural | medium
denim | 0.3 | natural | medium
jersey | 0.3 | synthetic | light
modal | 0.4 | mixed | light
chambray | 0.4 | natural | medium
linen | 0.5 | natural | light
suede | 0.5 | animal | medium
leather | 0.5 | animal | medium
wool blend | 0.6 | natural | medium
cashmere | 0.7 | natural | medium
crepe | 0.6 | mixed | light
chiffon | 0.6 | synthetic | light
georgette | 0.6 | synthetic | light
canvas | 0.3 | natural | medium
straw | 0.4 | natural | light
metal | 0.5 | mixed | medium
