# slot: footwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

bow pumps | 0.85 | 0.5-0.75 | suede,charmeuse
mary jane pumps | 0.85 | 0.5-0.75 | suede,patent
classic pumps | 0.80 | 0.5-0.75 | suede,patent
pointed-toe pumps | 0.70 | 0.5-0.75 | suede,patent
almond-toe pumps | 0.70 | 0.5-0.75 | suede,patent
stiletto pumps | 0.60 | 0.55-0.75 | suede,patent
mid-heel pumps | 0.65 | 0.5-0.75 | suede,patent
court shoes | 0.55 | 0.5-0.75 | suede,patent
sleek pumps | 0.55 | 0.5-0.75 | suede,patent
high-heel pumps | 0.50 | 0.55-0.75 | suede,patent
ankle-strap pumps | 0.50 | 0.55-0.75 | suede,charmeuse
