# slot: bottom
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

bodycon mini skirt | 0.90 | 0.55-0.85 | jersey,polyester
sequin mini skirt | 0.80 | 0.6-0.85 | polyester,satin
bandage mini skirt | 0.75 | 0.55-0.85 | jersey,polyester
ruched mini skirt | 0.70 | 0.55-0.85 | satin,polyester,jersey
mini skirt | 0.75 | 0.55-0.85 | satin,polyester,leather
asymmetric mini skirt | 0.60 | 0.55-0.85 | satin,polyester
structured mini skirt | 0.55 | 0.6-0.85 | leather
mock croc mini skirt | 0.55 | 0.55-0.85 | leather
draped mini skirt | 0.50 | 0.55-0.85 | satin,polyester
metallic mini skirt | 0.55 | 0.55-0.85 | polyester
skater mini skirt | 0.40 | 0.55-0.8 | polyester,jersey
