# slot: accessories
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

chunky chain necklace | 0.75 | 0.5-0.75 | metal
sheer hosiery | 0.65 | 0.5-0.75 | nylon
stacked rings | 0.65 | 0.5-0.75 | metal
hoop earrings | 0.60 | 0.5-0.75 | metal
studded belt | 0.60 | 0.5-0.75 | leather
fishnet tights | 0.55 | 0.5-0.7 | nylon
leather choker | 0.55 | 0.5-0.75 | polyester
wide cuff bracelet | 0.50 | 0.5-0.75 | metal
oversized sunglasses | 0.50 | 0.5-0.7 | polyester
ear cuff | 0.45 | 0.5-0.75 | metal
silver pendant | 0.45 | 0.5-0.75 | metal
