# format: print_name | probability | compatible_slots | formality_min-formality_max
solid color-block | 0.75 | top,bottom,outerwear | 0.1-0.3
faded wash | 0.55 | bottom | 0.1-0.3
band graphic | 0.55 | top,outerwear | 0.1-0.3
striped pattern | 0.50 | top | 0.1-0.3
plaid pattern | 0.50 | outerwear,bottom | 0.1-0.3
distressed pattern | 0.45 | bottom | 0.1-0.3
tie-dye pattern | 0.45 | top | 0.1-0.3
checkered pattern | 0.40 | outerwear | 0.1-0.3
heart graphic | 0.40 | top | 0.1-0.3
animal-print accents | 0.35 | top,bag | 0.1-0.3
floral print | 0.35 | top | 0.1-0.3
star graphic | 0.35 | top | 0.1-0.3
