# slot: accessories
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

scrunchie | 0.85 | 0.1-0.2 | nylon
hair claw clip | 0.55 | 0.1-0.2 | plastic
small hoop earrings | 0.45 | 0.1-0.3 | metal
layered chain necklace | 0.40 | 0.1-0.3 | metal
chunky sport watch | 0.45 | 0.1-0.3 | plastic,metal
wireless earbuds case | 0.50 | 0.1-0.2 | plastic
phone crossbody strap | 0.40 | 0.1-0.2 | nylon
stacked bracelets | 0.35 | 0.1-0.3 | metal
stud earrings | 0.35 | 0.1-0.2 | metal
sporty sunglasses | 0.45 | 0.1-0.3 | acetate
friendship bracelet | 0.40 | 0.1-0.2 | cotton
hair elastic stack | 0.45 | 0.1-0.2 | nylon
insulated water bottle | 0.35 | 0.1-0.2 | plastic,metal
beaded phone charm | 0.30 | 0.1-0.2 | plastic
