# slot: accessories
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

sunglasses pushed into hair | 0.65 | 0.1-0.3 | plastic
round sunglasses | 0.55 | 0.1-0.3 | plastic
layered gold necklace | 0.55 | 0.1-0.3 | metal
hoop earrings | 0.50 | 0.1-0.3 | metal
woven friendship bracelet | 0.60 | 0.1-0.3 | cotton
hair scrunchie | 0.55 | 0.1-0.3 | jersey
claw hair clip | 0.55 | 0.1-0.3 | plastic
beaded anklet | 0.45 | 0.1-0.3 | plastic
phone with wrist strap | 0.40 | 0.1-0.3 | plastic
woven belt | 0.35 | 0.1-0.3 | straw
charm bracelet | 0.40 | 0.1-0.3 | metal
beaded choker | 0.35 | 0.1-0.3 | plastic
stacked rings | 0.35 | 0.1-0.3 | metal
woven-strap watch | 0.30 | 0.1-0.3 | canvas
