# slot: top
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

traditional red Santa coat with white trim | 1.00 | 0.3-0.6 | velvet,faux_fur
classic red double-breasted Santa coat | 0.85 | 0.3-0.6 | velvet,faux_fur
deep crimson Santa jacket with golden buttons | 0.70 | 0.3-0.6 | velvet,satin
royal red ceremonial tunic | 0.55 | 0.4-0.7 | velvet,brocade
elegant red Santa robe with embroidered cuffs | 0.50 | 0.4-0.7 | velvet,satin
ruby red regal Santa coat | 0.45 | 0.4-0.7 | velvet,brocade
crimson holiday vest over cream shirt | 0.60 | 0.3-0.6 | velvet,cotton
red Santa frock with gold piping | 0.55 | 0.4-0.7 | velvet,satin
luxurious red Santa overcoat with ornate edging | 0.40 | 0.4-0.7 | velvet,brocade
classic Father Christmas red jacket | 0.65 | 0.3-0.6 | velvet,faux_fur
heritage red Santa tunic with brass buttons | 0.50 | 0.3-0.6 | velvet,satin
