# format: fabric_name | formality | family | weight

# casual fabrics
polyester | 0.25 | synthetic | medium
cotton | 0.2 | natural | medium
denim | 0.2 | tough | heavy
knit | 0.25 | casual | medium
suede | 0.4 | tough | medium

# mid-range fabrics
velour | 0.4 | luxury | medium
velvet | 0.5 | luxury | medium
leather | 0.45 | tough | heavy

# formal fabrics
satin | 0.7 | luxury | light
silk | 0.85 | luxury | light
lurex | 0.75 | shimmer | light
sequin | 0.8 | shimmer | medium

# special materials
metal | 0.5 | luxury | heavy
